Country,NAME,Product,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Column1,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020E
KOREA,Korea,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.0912,0.0771,0.055,0.0487,0.0522,0.0733,0.0546,0.054,0.0411,0.0573,0.047
LATVIA,Latvia,NATGAS,1.127,1,1.2372,0.6679,0.9825,0.9896,1.0009,0.994,1.0639,1.0361,1.0191,0.856,0.8857,1.0435,1.3049,1.0561,1.0877,0.9677,0.8216,1.1406,0.6178,1.0941,1.1379,1.1559,0.7212,0.9857,0.8289,1.0199,0.9883,1.0003,1.001
LITHUANIA,Lithuania,NATGAS,1.0312,1,1,1,1,1,1,1,1,1.0076,1.0004,0.9992,0.9993,1.0003,0.9979,1.0065,1.0103,1.029,0.963,1.0037,0.9971,1.0027,1.0006,1.0004,0.9859,0.8554,0.3928,0.5806,0.6097,0.5332,0.5049
LUXEMBOU,Luxembourg,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.235,0.24,0.24,0.24,0.24,0.252,0.252,0.252,0.2522,0.2723,0.2723,0.2723,0.252
MALTA,Malta,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEXICO,Mexico,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NETHLAND,Netherlands,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899,0.106,0.1021,0.1067,0.0732,0.0722,0.0414,0.0627,0.0921,0.1577,0.2004,0.301,0.2166,0.3965,0.3624,0.359
NORWAY,Norway,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018
NZ,New Zealand,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLAND,Poland,NATGAS,0.7579,0.6852,0.687,0.5717,0.6049,0.6427,0.6058,0.5751,0.6529,0.5284,0.5405,0.5792,0.5716,0.5262,0.4277,0.4614,0.4889,0.4482,0.5058,0.5545,0.6233,0.6436,0.5859,0.5765,0.5487,0.5265,0.6185,0.553,0.4981,0.4686,0.4642
